,relative_radial_velocity,relative_lateral_velocity,cross_section,distance_rms,angle_rms,radial_velocity_rms,is_cylindrical,absolute_radial_velocity,region_npoints_1.5,avg_absolute_radial_velocity_1.5,median_absolute_radial_velocity_1.5
0,-4.38180208206,0.0,-22.0,0.0,0.0,0.0,0.0,-4.38180208206,11,-3.6484312144190914,-4.105874061580001
1,-4.1447901725800005,0.0,-21.5,0.0,0.0,0.0,0.0,-4.1447901725800005,11,-3.6484312144190914,-4.105874061580001
2,-3.5712287426,0.0,-24.0,0.0,0.0,0.0,0.0,-3.5712287426,7,-3.8982904638557145,-4.105874061580001
3,-4.105874061580001,0.0,-22.0,0.0,0.0,0.0,0.0,-4.105874061580001,13,-3.714100470909232,-4.105874061580001
4,-3.76950573921,0.0,-12.0,0.0,0.0,0.0,0.0,-3.76950573921,13,-3.7269252630376926,-4.105874061580001
5,-3.59490919113,0.0,-13.0,0.0,0.0,0.0,0.0,-3.59490919113,14,-3.7158040830064287,-4.032359361645001
6,-3.36296129227,0.0,-14.5,0.0,0.0,0.0,0.0,-3.36296129227,14,-3.7158040830064287,-4.032359361645001
7,-4.12646770477,0.0,-11.5,0.0,0.0,0.0,0.0,-4.12646770477,14,-3.7158040830064287,-4.032359361645001
8,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
9,0.0,0.0,-10.5,0.0,0.0,0.0,0.0,0.0,13,-3.7269252630376926,-4.105874061580001
10,-0.498953044415,0.0,-8.0,0.0,0.0,0.0,0.0,-0.498953044415,2,-0.12452298402800001,-0.12452298402800001
11,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
12,-2.57922077179,0.0,-11.5,0.0,0.0,0.0,0.0,-2.57922077179,1,-2.57922077179,-2.57922077179
13,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
14,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
15,-3.6682233810400002,0.0,-18.5,0.0,0.0,0.0,0.0,-3.6682233810400002,1,-3.6682233810400002,-3.6682233810400002
16,0.498624682426,0.0,-17.0,0.0,0.0,0.0,0.0,0.498624682426,1,0.498624682426,0.498624682426
17,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
18,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
19,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
20,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
21,-3.7379510402699996,0.0,-8.5,0.0,0.0,0.0,0.0,-3.7379510402699996,10,-3.5817562103269998,-3.86417520046
22,0.24990707635899997,0.0,-1.0,0.0,0.0,0.0,0.0,0.24990707635899997,2,-0.12452298402800001,-0.12452298402800001
23,-4.62621164322,0.0,-11.0,0.0,0.0,0.0,0.0,-4.62621164322,13,-3.7269252630376926,-4.105874061580001
24,-4.44899272919,0.0,-9.5,0.0,0.0,0.0,0.0,-4.44899272919,13,-3.7269252630376926,-4.105874061580001
25,0.0,0.0,-14.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
26,-3.95884466171,0.0,-8.0,0.0,0.0,0.0,0.0,-3.95884466171,11,-3.6294032877136364,-3.95884466171
27,0.0,0.0,-7.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
28,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,6,-0.6157677968349999,-0.5974540710449999
29,-1.1949081420899998,0.0,-5.5,0.0,0.0,0.0,0.0,-1.1949081420899998,7,-0.25080439022671425,0.0
30,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
31,0.9399812817569999,0.0,2.5,0.0,0.0,0.0,0.0,0.9399812817569999,5,-0.10118038654339997,0.0
32,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
33,0.5366806387899999,0.0,-6.5,0.0,0.0,0.0,0.0,0.5366806387899999,1,0.5366806387899999,0.5366806387899999
34,0.0,0.0,-15.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
35,0.0,0.0,-4.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
36,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
37,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
38,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
39,-1.24996984005,0.0,-5.0,0.0,0.0,0.0,0.0,-1.24996984005,8,-0.219453841448375,0.0
40,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
41,0.9989947676659999,0.0,-2.0,0.0,0.0,0.0,0.0,0.9989947676659999,5,-0.10118038654339997,0.0
42,0.0,0.0,-6.5,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
43,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,5,-0.499939727784,0.0
44,-1.24972879887,0.0,-6.5,0.0,0.0,0.0,0.0,-1.24972879887,6,-0.6157677968349999,-0.5974540710449999
45,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,8,-0.219453841448375,0.0
46,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
47,-4.191718101499999,0.0,-8.5,0.0,0.0,0.0,0.0,-4.191718101499999,11,-3.6294032877136364,-3.95884466171
48,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
